Technology,Capacity_GWh,Utilization,CAPEX_bilEUR,OM_bilEUR,Share_ren,Extension
Solar PV,0.0,NaN,0.0,0.0,0.0 %,0
Wind Onshore,0.0,NaN,0.0,0.0,0.0 %,0
Wind Offshore,0.0,NaN,0.0,0.0,0.0 %,0
Biogas,0.0,NaN,0.0,0.0,0.0 %,0
Brown coal,0.0,NaN,0.0,0.0,0.0 %,0
Hard coal,0.0,NaN,0.0,0.0,0.0 %,0
CCGT,0.0,NaN,0.0,0.0,0.0 %,0
GT,5.61,0.6967407796451914,2.805,2.5542558492000027,0.0 %,0
Solar PV,0.0,NaN,0.0,0.0,60.0 %,0
Wind Onshore,11.078963968402068,0.2889379210369233,19.38818694470362,8.944832350382107,60.0 %,0
Wind Offshore,0.0,NaN,0.0,0.0,60.0 %,0
Biogas,0.0,NaN,0.0,0.0,60.0 %,0
Brown coal,0.0,NaN,0.0,0.0,60.0 %,0
Hard coal,0.0,NaN,0.0,0.0,60.0 %,0
CCGT,0.0,NaN,0.0,0.0,60.0 %,0
GT,4.8832952988741685,0.3201703386408491,2.4416476494370842,2.204106633575624,60.0 %,0
Solar PV,0.0,NaN,0.0,0.0,80.0 %,0
Wind Onshore,26.291055344760306,0.2889379210369234,46.00934685333054,21.2266312124686,80.0 %,0
Wind Offshore,0.0,NaN,0.0,0.0,80.0 %,0
Biogas,0.0,NaN,0.0,0.0,80.0 %,0
Brown coal,0.0,NaN,0.0,0.0,80.0 %,0
Hard coal,0.0,NaN,0.0,0.0,80.0 %,0
CCGT,0.0,NaN,0.0,0.0,80.0 %,0
GT,4.364016472552478,0.17913386892067992,2.182008236276239,1.9632745495434933,80.0 %,0
Solar PV,27.233392649512272,0.03008184523809523,19.063374854658594,12.810587902330369,95.0 %,0
Wind Onshore,28.5,0.2889379210369234,49.875,23.0100686953185,95.0 %,0
Wind Offshore,54.550259085486,0.28893792103692345,212.7460104333954,146.68405552698553,95.0 %,0
Biogas,0.0,NaN,0.0,0.0,95.0 %,0
Brown coal,0.0,NaN,0.0,0.0,95.0 %,0
Hard coal,0.0,NaN,0.0,0.0,95.0 %,0
CCGT,0.0,NaN,0.0,0.0,95.0 %,0
GT,4.040894642839088,0.048364485086689946,2.020447321419544,1.81236959245192,95.0 %,0
Solar PV,810.7647058823532,0.030081845238095234,567.5352941176473,381.38371764706346,100.0 %,0
Wind Onshore,28.5,0.2889379210369234,49.875,23.0100686953185,100.0 %,0
Wind Offshore,954.9584117647058,0.2889379210369234,3724.3378058823528,2567.855314449387,100.0 %,0
Biogas,0.0,NaN,0.0,0.0,100.0 %,0
Brown coal,0.0,NaN,0.0,0.0,100.0 %,0
Hard coal,0.0,NaN,0.0,0.0,100.0 %,0
CCGT,0.0,NaN,0.0,0.0,100.0 %,0
GT,0.0,NaN,0.0,0.0,100.0 %,0
