Name,Capex_avg,Capex_capacity,Lifetime,Opex_of_capex,Opex_fix,Opex_var,Fuel_price,Fuel_eff,Storage_eff
Solar PV,700000.0,0.0,25,0.025,0,0.0,0.0,1.0,0.0
Wind Onshore,1.75e6,0.0,25,0.0,30000,5.0,0.0,1.0,0.0
Wind Offshore,3.9e6,0.0,25,0.0,100000,5.0,0.0,1.0,0.0
H2 cavern,1.08404e6,420.0,15,0.0,0,0.0,0.0,0.0,0.71
H2 tank,1.08404e6,16309.999999999998,15,0.0,0,0.0,0.0,0.0,0.71
Li-ion battery,90120.0,271220.0,20,0.0,0,0.0,0.0,0.0,0.94
Redox flow batteries,343320.0,107290.0,20,0.0,0,0.0,0.0,0.0,0.9
Biogas,3.0e6,0.0,30,0.04,0,0.0,30.3,0.4,0.0
Brown coal,1.9e6,0.0,40,0.0,36000,5.0,1.8,0.45,0.0
Hard coal,1.65e6,0.0,40,0.0,32000,5.0,9.6,0.46,0.0
CCGT,950000.0,0.0,30,0.0,22000,4.0,21.0,0.6,0.0
GT,500000.0,0.0,30,0.0,20000,3.0,21.0,0.6,0.0
